,eval/f1,eval/loss,train/loss,Name
8,0.5472207069396973,0.6312150955200195,0.00039999998989515007,./results/sentiment_analysis/pretrain-bert-base-train/runs/events.out.tfevents.1618956706.crocoder-HP-Pavilion-Notebook
0,0.30199429392814636,0.5162595510482788,0.5956000089645386,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
1,0.30199429392814636,0.5079213380813599,0.5648999810218811,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
2,0.5015873312950134,0.4175052046775818,0.41269999742507935,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
3,0.7709211707115173,0.5503599643707275,0.1988999992609024,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
4,0.7566137313842773,0.7135047912597656,0.12479999661445618,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
5,0.6779220700263977,1.0073988437652588,0.07779999822378159,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
6,0.646916389465332,1.0620121955871582,0.04360000044107437,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
7,0.646916389465332,1.0542075634002686,0.0031999999191612005,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
8,0.646916389465332,1.058167576789856,0.002300000051036477,./results/sentiment_analysis/distilbert-base/runs/events.out.tfevents.1618954362.crocoder-HP-Pavilion-Notebook
0,0.35235506296157837,1.202771782875061,1.026900053024292,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
1,0.45291608572006226,1.46198570728302,0.7473999857902527,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
2,0.45960384607315063,1.6759999990463257,0.44749999046325684,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
3,0.5002514123916626,1.906733512878418,0.20270000398159027,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
4,0.4616161584854126,2.5939273834228516,0.08449999988079071,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
5,0.47859981656074524,2.553581476211548,0.040300000458955765,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
6,0.45307865738868713,2.479501724243164,0.022600000724196434,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
7,0.46928897500038147,2.7393176555633545,0.012000000104308128,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
8,0.5007616877555847,2.758023262023926,0.009800000116229057,./results/risk_profiling/lstm-model/runs/events.out.tfevents.1618961608.crocoder-HP-Pavilion-Notebook
0,0.1860465109348297,1.0915405750274658,1.1161999702453613,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
1,0.1794871836900711,1.1012613773345947,1.1116000413894653,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
2,0.1860465109348297,1.1043106317520142,1.092900037765503,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
3,0.1860465109348297,1.0976401567459106,1.1507999897003174,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
4,0.16260161995887756,1.1129196882247925,1.1128000020980835,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
5,0.1860465109348297,1.0936694145202637,1.1230000257492065,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
6,0.1860465109348297,1.0920820236206055,1.0851000547409058,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
7,0.16260161995887756,1.0954079627990723,1.1089999675750732,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
8,0.1860465109348297,1.0915268659591675,1.095900058746338,./results/risk_profiling/bert-base/runs/events.out.tfevents.1618949322.crocoder-HP-Pavilion-Notebook
0,0.21284271776676178,1.1442917585372925,1.0911999940872192,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
1,0.33721834421157837,1.4593247175216675,0.9549999833106995,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
2,0.21598640084266663,3.245243787765503,0.3506999909877777,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
3,0.2981947064399719,4.32330846786499,0.06769999861717224,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
4,0.32153594493865967,4.428231239318848,0.014499999582767487,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
5,0.3441060185432434,4.870534896850586,0.0010000000474974513,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
6,0.33664873242378235,4.93303108215332,0.0005000000237487257,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
7,0.30503323674201965,4.983957767486572,0.003100000089034438,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
8,0.3242134153842926,5.015588760375977,0.00039999998989515007,./results/risk_profiling/pretrain-bert-base/runs/events.out.tfevents.1618951627.crocoder-HP-Pavilion-Notebook
0,0.1882352977991104,1.1088056564331055,1.166700005531311,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
1,0.2863636314868927,1.2262907028198242,1.0748000144958496,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
2,0.31143075227737427,2.2187066078186035,0.7095999717712402,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
3,0.28987640142440796,3.7306089401245117,0.26919999718666077,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
4,0.30473917722702026,4.140077590942383,0.13590000569820404,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
5,0.30514511466026306,4.332369327545166,0.0333000011742115,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
6,0.3051831126213074,4.331484794616699,0.0357000008225441,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
7,0.2705511450767517,4.657966136932373,0.0010000000474974513,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
8,0.2705511450767517,4.71957540512085,0.0007999999797903001,./results/risk_profiling/finbert-base/runs/events.out.tfevents.1618950729.crocoder-HP-Pavilion-Notebook
0,0.18039216101169586,1.1105037927627563,1.0994999408721924,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
1,0.3324466049671173,1.3663084506988525,0.9549999833106995,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
2,0.307407408952713,2.753493309020996,0.3919000029563904,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
3,0.2961055338382721,3.784546136856079,0.14409999549388885,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
4,0.304677814245224,4.482540130615234,0.04439999908208847,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
5,0.24882352352142334,4.949434280395508,0.005799999926239252,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
6,0.2155291736125946,5.225583076477051,0.0006000000284984708,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
7,0.2155291736125946,5.303949356079102,0.00039999998989515007,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
8,0.23277516663074493,5.308711051940918,0.00039999998989515007,./results/risk_profiling/pretrain-bert-base-train/runs/events.out.tfevents.1618952501.crocoder-HP-Pavilion-Notebook
0,0.283658504486084,1.1267790794372559,1.0917999744415283,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
1,0.18518517911434174,1.7204773426055908,0.8798999786376953,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
2,0.2911255359649658,2.76387619972229,0.3224000036716461,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
3,0.21582533419132233,4.096467018127441,0.03999999910593033,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
4,0.17577414214611053,4.62880277633667,0.020800000056624413,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
5,0.20513983070850372,4.994749546051025,0.0017999999690800905,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
6,0.20513983070850372,5.121127128601074,0.0007999999797903001,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
7,0.20513983070850372,5.183263301849365,0.0006000000284984708,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
8,0.20513983070850372,5.212841510772705,0.0005000000237487257,./results/risk_profiling/distilbert-base/runs/events.out.tfevents.1618950218.crocoder-HP-Pavilion-Notebook
